index,label,text
1951,8,how many stores do you have in new york?
1483,4,you show the xyz phone is out of stock online; are these available in stores in my area?
849,3,can you please give me an honest answer for when my order will be shipped?
289,0,for some reason your is rejecting me canceling my order can you please cancel my order in your system.
533,2,change quantity of my order
1851,7,what can you do for me if i need to receive this item today?
883,3,will i receive it today?
340,1,its been a month since i was promised a quick delivery but i havent received the device
1090,3,what is my order status
224,0,what fees will i have to pay for cancelling?
1756,2,can you alter my last order?
2200,9,do you close for lunch?
2161,9,"i'd love to shop at your store, what are the hours of operation?"
981,3,what is the details of my order?
2139,9,what are you your weekend hours?
307,1,i need to know if i should just cancel my order since i havent received it.
474,1,the order # is s035718712 i placed the order last thursday and was told it would be sent out by the 16th but nothing has been sent yet.
801,3,what is the current status of my order?
476,1,we order a new iphone 8 plus gold and i didnt get the order status i just wanna know when is gonna get here
1660,6,change shipping address?
1604,5,how do people appreciate this product?
765,2,change the quantity on my cary
357,1,yet again im calling for my order status.
299,1,why has my order not shipped yet?
277,0,how do i cancel an order i placed thats backordered?
438,1,hello i wanted to know update on my order for shipping they told me it will be today
866,3,can i have look on my product status?
1062,3,i placed an order for an ipad pro 10.5 space gray and i would like to know the status of the order.
44,0,am i able to cancel my recent order as i have made a mistake?
449,1,i just wanted to confrm that my order was made because i didnt receive any order number
423,1,why is it taking so long for someone to get back to me about my order?
2123,9,what time do your stores close on weekends?
1292,4,show the sneakers
825,3,updates on my order?
882,3,that would be a great help if you could tell me delivery date.
1933,8,list out the newyork stores?
848,3,ok. please can you let me know when the phone will arrive.
711,2,"i really thought that i wanted that kimono, but i don't think it is 100% silk, so remove it please."
1662,6,change shipping address on order?
193,0,i no longer need this order
805,3,i need another order update because my shipment hasnt arrived.
2025,9,what time does the store close?
949,3,i placed my order and i want to know when i can expect to have it delivered.
301,1,i have already called and spoken to three different people about this. if i need to cancel my order i will. can you please tell me what i need to do?
1474,4,can you let me know when the iphone 7 is available for purchase?
1751,2,i need to modify my order
1030,3,what happened to the order i placed?
1328,4,i want a phone that is out of stock on your website; is it available in a store near me?
87,0,i dont want my order anymore. are you able to help me cancel my last order?
375,1,my phone was supposed to arrive yesterday but still has not come
1243,4,i like to buy sneaker to my friend can you show the sneakers which you have now.
93,0,what is the process to cancel my order?
1414,4,i want to see skirts for the fall season
1060,3,i need to know the status of my rebate. thanks
1523,4,wondering whats available
1689,6,can you please change address as address mentioned earlier is incorrect?
1759,2,is there still time to customize my order?
857,3,can you tell me where to click to get order status and tracking info?
600,2,how can changes be done now?
366,1,i have placed an order with your company and i didnt receive any information on when exactly my order would be delivered to me.
1520,4,how much are they and are they available in your stores
1912,8,what the store in san fransisco?
1651,6,can i change my delivery address
1170,4,backpacks please?
243,0,i need to cancel my order and was wondering what i have to pay to do so.
1978,9,can you tell me what hours your different stores operate?
160,0,can i cancel my order without repercussions?
643,2,is it possible to modify now?
1539,4,how do i check if an item is available
876,3,can you show me the status of my last order?
539,2,change my shipping method to express shipping instead of the ground shipping.
1687,6,can you guys deliver my product on the different address
77,0,i changed my mind about this order
1889,7,is it lik next day shipping?
1643,5,does this have any reviews
1376,4,i want to look at dresses.
746,2,would i be able to customize the item i ordered?
121,0,i am frustrated in waiting for my order. i would like to cancel it now.
1377,4,i would like some good quality gym shoes.
2068,9,how late are you open on saturday?
1853,7,what plan do you have for shipping an item
1710,6,do you offer in store pick up instead of home delivery?
1998,9,are you open regular hours on thanksgiving?
369,1,when i track the status of my phone order
1624,5,good reviews for sunglasses
1189,4,can i show sneakers?
2061,9,what time do your stores normally open?
568,2,i just placed my order but can i still add a monogram?
1012,3,on what date can i expect my order to arrive as i would like to be there in person to sign for it.
1512,4,when will you be getting more?
861,3,can you give me a status update on my order?
339,1,i ordered a prepaid phone with accessories over 3 weeks ago. i paid extra for overnight shipping.
2053,9,how do i know when you guys close?
1273,4,"iwant o buy the sneakers for my uncle ,would you please show the sneakers"
1514,4,when do you gone a have the new iphone x
2115,9,all your stores are running on same time schedule?
5,0,"hi how&rsquo;re you, i&rsquo;m wondering if it&rsquo;s possible to cancel an order on the apple watch 3 that i&rsquo;ve ordered, i spoke with a person who said it should be here next week but i see that it&rsquo;s back ordered &amp; will take a while to get here. can i cancel &amp; get a refund?"
991,3,what is the status of my order? its been delayed once already.
689,2,do you comfortable on updating my cart ?
1715,6,how do i change the delivery address?
211,0,i have changed my mind and no longer want my order
2,0,"can you cancel my most recent order? the trade in was supposed to take from the price, but it didn't."
1100,3,whats my expected delivery date?
1793,7,if you cant do same day delivery
961,3,when do you think my order will arrive?
894,3,i would like to get estimated shipping dates for my pending order
2099,9,do you open at 9?
937,3,i need information on when to expect delivery of my order
1870,7,can you please tell me about the delivery options and shipping plans that are available to me?
1011,3,how shipped and when delivered?
1190,4,can i sneakers
951,3,i plaved my order last saturday so when will i receive it?
349,1,i should have gotten my order by now.
1716,6,how can i change the delivery address on my order?
1169,4,are you have watches?
146,0,do you have a cancellation fee in your policy?
1040,3,cannot find check order status and confirmation of shipping.
1456,4,do any of your local stores have this item in stock today?
1733,6,i need to change the address for the order i just placed.
1347,4,wondering when the lg v30 will be available in stores.
933,3,just order iphone 7. when it will get delivered?
1663,6,my shipping address is 5/27 local street
1626,5,please show me the reviews for this hat
969,3,how long till it gets here?
608,2,i have ordered a wrong size
869,3,my order was just placed online. can you let me know what my confirmation order is.
1932,8,locate a store?
1188,4,can i show my t-shirts?
1607,5,i want to know about customer review so are you ready to explain?
1480,4,are the s8s available in store because theres nothing available online.
766,2,how do i add more shirts to my cart?
964,3,id greatly appreciate any updates on the status of the order and any estimates on a delivery date. thanks so much for your help.
1298,4,want the see bottoms
1173,4,can i everyday in sneakers?
1435,4,please check my phone
621,2,i need to change an order i made.
499,1,my package was supposed to arrive 2 days ago
309,1,my order is late. can you tell me when it will show up?
1917,8,do you know store in san francisco
310,1,i placed an order a while ago but it has not been processed. can you tell me when it will be ready?
729,2,the purchasing materials how to update and remove the existing material on my cart
1728,6,that is the old address we had is there any way u can change it for me
827,3,please verirfy the status of my order for 2 new handset and sim card.
1104,3,id like to check on the expected delivery date of my order.
1948,8,can i get location of that store?
1958,8,d you know get location?
1080,3,ok my phone i order for 9606 has been shipped can you tell me status of the phone i ordered for 9600
377,1,i recently ordered a phone from you but it hasnt arrived. when can i expect to receive it?
1242,4,"i like to buy bags ,can to help me to buy with latest variety and trends with day to day life activities."
1550,5,can i see the top five reviews for this handbag?
1858,7,why is the shipping cost of my phone higher than what i was quoted previously?
751,2,i seem to have ordered the wrong size product
782,3,can you check my order status
851,3,can you tell me the status of my order?
1911,8,how to know many stores do you have in new york?
1345,4,when will 4g lte be available in my area?
442,1,"hi i placed a order for a pair of jbl headphones 2 wks ago and i haven't received them yet,"
929,3,when will you deliver the package to our business address?
1102,3,where is my phone?
2108,9,when do you open shop? i see your's is the only shop which opens so early in the morning. that's great. i shall visit you soon.
1581,5,reviews of sneaker?
1597,5,what kind of feedback have you gotten on this item
2135,9,do you open early on black friday?
496,1,i should have received my order on tuesday and it has still not arrived
558,2,i just placed an order and i would like to know if it still can be customized?
1035,3,can you check if my pre order iwatch is still getting here soon?
213,0,please do not send this order because the wedding was cancelled so we do not need the wedding gift.
1211,4,"do you have branded dress materials like t-shirts ,jeans"
117,0,i have a order apple watch series 3 which i want to cancel
840,3,confirm delivery date of my order
1138,3,can you tell me what method of delivery and what date i can expect product.
612,2,i have already placed an order and would like to alter it
2166,9,what are your hours of operation?
1234,4,how to i want bought the latest trend in bags?
1740,6,due to some emergency i am going my hometown.can you please deliver my product at my home town?
1676,6,hello can i changed my orders shipping address?
181,0,i have changed my mind about the iphone i ordered. can it be cancelled
715,2,"i want to update my cart to show that i am keep all my clothing selections, except for the grey suit."
81,0,do i cancel?
92,0,how can i cancel my order?
1326,4,are there any iphone7s left?
1387,4,show me a different kind of modern dress for men apparels in you shop
1172,4,can i bought the see bottoms
661,2,alter an order?
550,2,i would like to alter the order i placed this morning
1692,6,can you change my delivery address to the nearest fedex store
177,0,i want to cancel the order i have just made
196,0,by any chance can i cancel an order that i have already placed?
979,3,how long does it take for a processed order to be shipped?
29,0,i accidentally included an extra orderd which i did not require
1935,8,can i get locaition?
1810,7,do you have delivery options where i can place an order and receive it within the same day?
1478,4,will this item be available again or will it be replaced by another item?
1537,4,is the iphone 8 available? how many gig? thanks for the info.
62,0,please guide me how to cancel. would you do it for me?
2212,9,do your stores open and close at the same time at every location?
732,2,updation of cart
1120,3,i cant locate the tracking info for my recent order.
512,1,"hi, i just got the new phone and also ordered the new apple watch. the girl who helped me at t-mobile promised it would be here before i left for this big trip in 10 days but i noticed the delivery date is not until november is there anyway to expedite this"
2075,9,what kind of store hours do you have?
1579,5,review of customer?
852,3,has there been any updates on the status of the order?
233,0,when i cancel this
428,1,why hasnt my order shipped yet?
1773,7,can i place an order for same day delivery?
2165,9,ill what time will you guys be open today?
1300,4,watch is there
1966,8,how do i get there?
485,1,my order status has said pending for several days
1451,4,is that product available for purchase?
1482,4,can you tell me if tmobile stores sell refurbished phones or is that only online?
457,1,i placed an order for the iphone 8 plus 256gb but i haven't heard from you. any idea how it take to get this device?? my # 951-317-3961
1073,3,i would like to confirm my order for a new iphone plus and find out when i can expect delivery
984,3,what is the shipping status of my current order?
847,3,can you give me an update on when my order will ship?
1575,5,please describe about customer review?
1192,4,"can you please tell me, how to see my bottoms now?"
641,2,could i make changes to my order? i need to change the size.
2170,9,excuse me. what your weekend hours?
494,1,i was supposed to get my order on last sunday
1553,5,can i show my reviews?
920,3,what is the eta for my order?
279,0,i want to cancel one order which i placed by mistake
843,3,can you tell me when my order will get here?
234,0,which category of order is it allowed to be cancelled?
1247,4,i need a i phone 7plus
2078,9,are all of your stores' hours the same?
1051,3,"hi, when will i receive my apple watch .. i placed the order on 9/19 and it going to be a month soon ..order number 5170323549 .."
253,0,how can i cancel an order that i placed yesterday but no longer need?
430,1,why am i getting an error when i track the status of my order?
797,3,i recently placed an order and want to know when i can expect it to be delivered.
815,3,cant you just check on the status and tell me?
1492,4,you guys still have the zmax pro? i thought they were out of stock?
1327,4,are there any more iphone 7 on order for your store?
2064,9,are the times the same on the weekends as on the weekdays?
918,3,what is the expected day of delivery for my recent order?
1385,4,"i'm looking to purchase a new pair of jeans, and i would like to see what kind of a selection you offer."
1277,4,please send me the link to your womens t-shirts section.
222,0,what will it cost to cancel now?
1258,4,i want watches now?
817,3,i ordered a new phone on saturday and still can not trace the shipping status. please check it for me.
1619,5,will you please help me by showing me the customer reviews for this belt
1450,4,are the phones available
901,3,it has been several days since i placed my order. i still havent got my order status.
1842,7,delivery and shipping plans information.
1950,8,where is your store in san francisco
1123,3,im trying to get an order status on a recent order.
604,2,i have placed an order and i would like to change it. how can this be done?
194,0,can i cancel my order online or do i need to talk to a representative?
2002,9,what time do you open and close?
1199,4,can you show me the types of bras your store sells?
881,3,i have been waiting on this purchase passed its delivery date
97,0,i placed and order and i want to cancel
2019,9,what time does your store open?
1839,7,tell me the cheapest and the fastest shipping plan ?
317,1,can you let me know why i havent gotten my order.
182,0,is it possible to cancel my order if i placed it within the last 24 hours?
589,2,i want to change the color of the item i ordered from black to white.
2089,9,when are you guys closing today?
967,3,where can i find the location of my order?
1335,4,do you have a new iphone 7plus 32gb not pre-owened ?
167,0,i really need to cancel an order i just placed
1817,7,what are the available delivery plans that you have?
2176,9,what are your hours today?
705,2,i don't want three sweaters in my cart anymore. how do i change it to two?
803,3,how can i check the status of my order?
1461,4,can you check availability on a product that is out of stock for me?
230,0,need to know cancellation policy
1564,5,i want a top reviewed product. could you direct me to one with greater than 3 stars?
46,0,can my order be cancelled as its taking too long to be delivered
2076,9,what time do your stores usually open?
1977,9,can you inform me of the hours of operation?
952,3,i want to know when my order will be processed. can you tell me when this phone will be in stock again and my order will go through?
1239,4,i have been trying this look latest trend in bags?
980,3,what is my order delivery date
131,0,i no longer want this item and would like a refund
649,2,would you be able to help me modify the order i just place?
1495,4,when will the item be available?
2027,9,what are saturday's store hours?
1792,7,do you offer a shipping method that will get me my order in exactly three days?
791,3,when is expected delivery date of my order?
168,0,can you cancel that for me? or i need to call 611 ?
154,0,if i cancel an existing purchase
544,2,i just bought [name of product] from you guys and i was wondering if it was possible for me to add another set to my order
821,3,need order delivery update.
1204,4,current dresses?
192,0,can you le the know what your order cancellation policy is?
278,0,i placed an order an hour ago but i changed my mind so how do i cancel it?
507,1,how come my order hasnt been delivered yet?
832,3,good morning kimberly
1337,4,is there anyway you can get me an iphone7? they are showing as out of stock.
915,3,when will it be here?
2092,9,what are you business hours?
1946,8,can i get location of your store?
580,2,i seem to have ordered the wrong size product
878,3,can you track the shipping
1528,4,it says here that the phone i want to order is out of stock. when will it be available again?
1548,5,can i reviews in air force?
1922,8,i want to find a store big enough to buy whatever i want. please tell me how to get there.
188,0,do you charge for cancelations?
884,3,is it possible for me to receive the phone today?
1445,4,just wanted to know if my phone made it to the store today?
1724,6,"i placed an order yesterday and was trying to get the tracking number if possible, so i can change shipping address."
1399,4,do you have any fashionable shirts that were featured in cosmopolitan
2196,9,when are the operating hours of your business?
1772,7,can i get faster shipping?
1262,4,i would like to see some dresses.
1109,3,can someone time me when i will get my phone plz
1570,5,i'm interested in the reviews on this product.
1938,8,where is los angeles store
2167,9,how late will you be opened?
2190,9,what's the closing time of the stores?
1511,4,when do you expect having that phone available?
1701,6,i would lie to have my order shipped to a different address than the one that it is currently set to be shipped to
1219,4,find leather shoes?
30,0,are their any cancellation fees?
275,0,what do i need to do to cancel what i ordered?
1091,3,what is the status of the apple watch i ordered? thank you.
1296,4,so can we begin to order the phone or what
516,1,i need my phone on today
1429,4,when will it be back in stock?
747,2,can i customize my order before its shipped?
1936,8,in new york how many stores do you have?
1317,4,best shirts available
910,3,i ordered a new charger last week and when will it arrive?
221,0,what will i be charged if i cancel my order now?
708,2,i made a mistake and need to remove the pants from my cart. can you explain how?
2102,9,could you tell me at what time do you your stores open in the morning and close in the evening?
2059,9,do your stores remain open during the noon hour?
419,1,why is the delivery taking so long?
187,0,is there a place to cancel an order on your website so i dont have to call and wait on hold forever next time?
169,0,i actually changed my mind about my order. can i cancel it?
989,3,where can i check my order status?
11,0,is there a cancel fee or something if i cancel today
2210,9,could you tell me when your store is open?
163,0,can i cancel today?
370,1,my orders pending
183,0,i placed an order with you but have decided i didnt want it. can you please cancel my order?
1464,4,can you check to see if the phone is available at a physical store?
2021,9,could you please tell me what time you will open today.
1623,5,do these sunglasses have good reviews from customers
274,0,if i needed to cancel the order how would i go about that and what are the limitations?
294,1,i have never received a notification of my order status. could you tell me what it is?
2124,9,how early is your store opening at the mall in cherry hill?
391,1,when will my order be processed and sent to me after it has een restocked?
492,1,my order is not on time
2117,9,what are the store hours of your new york locations?
1013,3,i placed an order last week on wednesday and was wondering if you could tell me when i can expect my delivery.
757,2,what are my options for custom orders?
1318,4,can you please show me all of your dresses
1436,4,checking to see if a store has a phone or not in stock.
742,2,i need to make a change in the order that i placed.
1198,4,can you show me the sneakers you offer in size 6.5?
1288,4,show me watches
972,3,what is the turn around time to receive my phone?
197,0,is it too late for me to cancel the order i placed this morning?
1943,8,where is your store located?
1008,3,when will you deliver my last order?
1175,4,can i me sneakers?
514,1,"i had this order number 1170472871, but i was not able to track the order for some reason."
1059,3,i meant to check the order and see what was ordered?
489,1,i paid for shipping fast and i still dont have my order.
1947,8,can i get location of the store?
551,2,can i change the accessories in my order?
1231,4,how do i search for plus sizes?
170,0,if i cancel my order
922,3,when will it arrive?
1613,5,show reviews for leather shoes.
1470,4,your local website ran out of the iphone7
534,2,alter my order
731,2,update quantity in cart.
1166,3,what about the order of the phones
982,3,what is the order status of my package?
1834,7,how much shipping costs?
2085,9,what time will you guys be open today?
1074,3,i would to check the status on an apple watch order
1723,6,i have a pending order for an apple watch and i was wondering if i could change the address
1568,5,"i would really happy that if you find oout the reviews of mens cloths ,if yoou could help me in the process it will be better to purchase the cloth as per the reviews."
1016,3,how much time will it take to get my product
1680,6,can i change the shipping address on my order?
1448,4,is the lg v10 still available?
2112,9,are you open on weekends?
642,2,i ordered the wrong color
613,2,change order to only one
115,0,please cancel my last order manually be the website is not processing cancelled orders at the moment.
1378,4,i would like to know if i can order the zte max phone
1809,7,is there a way to receive the order the same day its placed?
1394,4,what sneakers are in 6.5?
1265,4,i'd like to see the latest platform heel shoes for women.
958,3,i havent received my order yet
2110,9,inform me about your store timings.
1149,3,checking on order
151,0,could you cancel the order for a samsung galaxy on my account please.
924,3,when will my package arrive?
57,0,hi how much does it cost to cancel service ?
577,2,i would like to alter something in my last order
1591,5,what people like this product?
452,1,i ordered an iphone last week but never received tracking info. was supposed to arrive today but hasn&rsquo;t.
710,2,"i purchased more item but i want remove some items ,isearched in internet ,but i didnt found the result ,can you please guide how to remove the items from my cart"
728,2,the different quantity change pair of socks in my cart ?
703,2,i accidentally added two mini drones into my cart instead of 1. how can i change the quantity to 1?
1333,4,i would like to order an item that is currently out of stock
653,2,i chose the wrong size when i placed my order. can i still make changes?
1934,8,can i know your store in san francisco?
1818,7,i want to find you about the different delivery and shipping options that are available.
2007,9,what is the earliest your store opens?
877,3,could you please take a moment and update me on my order
2147,9,what are your hours of operation today?
1988,9,how late do your stores stay open until on tuesday's.
1163,3,i see the order is still in progress and has yet to ship
1659,6,change address
2105,9,how late is your nyc store open on black friday?
475,1,this is beyond insane i'm not signing for a third time. these phone should of been send out since friday
1084,3,phone tracking
1590,5,what is the customer review?
1848,7,please explain the delivery plans that you offer.
2063,9,what time is your store close?
671,2,i was wondering if i could make a change to my order.
555,2,can i still change my order as per my preferences?
1774,7,can i place this order and get delivery today?
1287,4,show me t-shirts?
74,0,cancel the order
300,1,why is it taking so long?
1775,7,can i place an order and receive it at the same day
743,2,are there any other customization options available for this item?
1178,4,can i see t-shirts?
1895,8,how to find your store and how many stores do u have?
1291,4,show my t-shirts?
627,2,are modifications still allowed?
2015,9,when do you open and close today
214,0,i decided i dont want these shoes so you gotta stop the order.
719,2,please remove the button-down shirt from my cart
1508,4,when is it coming? new iphone 8
112,0,im going to have to cancel the order i placed.
1666,6,please update the delivery address
885,3,can this order be sent to me today?
1228,4,how do i navigate the search for a specific product?
164,0,does mr. john cancelled the 3 phones we order last week?
1620,5,can you tell me about the customer reviews for this dress
1897,8,portland store location
1159,3,i ordered for 2 iphone 8plus but i never seen nothing
67,0,can i cancel my current iphone order and get the black one. says it's not on back order for space grey
905,3,what is the expected date this order will be available?
1279,4,plus size search?
581,2,alter an order?
2186,9,is your store open seven days a week?
396,1,i signed a deal to get a free tablet and it never came. where is it?
332,1,my order status is still at pending
1238,4,i have been struggling to find the sweaters. is there any way you could assist me?
1401,4,where are the sneakers? you sell watches? latest handbags can be found where
36,0,i am quite certain that i am going to cancel with you.
776,3,i need the delivery date for my order.
634,2,can i still change my order as per my preferences?
1230,4,how do i search for platform shoes?
1830,7,how much is the delivery charge?
986,3,i need information on my order status
2180,9,when do you open on christmas eve?
1283,4,show in sneakers?
176,0,can you look at my account and see if you can cancel my most recent order?
360,1,i dont know if my order has processed as i have received no confirmation.
1329,4,is there any other place i can buy the iphone7 since you are our of stock?
1691,6,can i pick up the order at a local store instead?
1682,6,i believe my most recent order will be shipping to the wrong address
502,1,when will my item be shipped?
245,0,what are the charges encase i want a refund if i cancel my order
1665,6,i need to change the address that my order is being shipped to
2197,9,i was wondering what time the closest store located to me opened today?
1453,4,are all the iphone7s really out of stock?
700,2,how to remove the item from my cart
646,2,can i change the number of the products that i ordered?
1849,7,i need the details of delivery and shipping plans because i would like to place an order with your company
1835,7,what are your shipping costs and delivery schedule?
893,3,our company didnt receive the new phone we order last week.
1446,4,ok. is there coral blue available
1009,3,what is my orders expected delivery date?
1657,6,i placed an order with you but i need to change my address. how can i do that?
451,1,i ordered an apple watch 3 on friday and when i try to look up the order status it's not available.
660,2,i need to make some changes on the order i placed earlier
537,2,i need help to customize my order.
914,3,i know theres no way of knowing exactly because of the shipping type i have chosen
1266,4,i'm curious what dress styles you have
1217,4,dress options
12,0,please cancel my order
143,0,i ordered the red phone and just now realize my daughter is going to hate it
1369,4,how to choose the better quality?
1391,4,sneakers you have
1845,7,get me the details of delivery plans you have
2071,9,do your stores have different hours in the winter?
1717,6,kindly let me know how i can change the delivery address for my last order.
814,3,answer my order status request please?
1985,9,what are your hours over christmas?
576,2,i would like to alter my last order
2095,9,is there a schedule of your hours available online?
1625,5,will you please help me by telling me what other customers have said about these sunglasses
365,1,my order status shows pending when will it get ship?
2098,9,what time do y'all close today?
1583,5,what about customer review?
1076,3,is there a way i can find the location where the cell phone is actually located?
2206,9,what time do you guys close?
416,1,why is my order still pending?
528,2,can i modify an order?
239,0,if i cancel my order today what will it cost me?
263,0,how do i cancel my new smartphone order which i made erroneously?
1637,5,product feedback
987,3,any updates on my order status?
1804,7,can you give me more information about your shipping plans?
1714,6,how do i change the ship-to address
304,1,i should not have to call multiple times for a simple status update on the order i havent received yet!
1421,4,"i need fancy dress shoes for my wedding, size 9 in men's, colors black, red, and blue"
107,0,cancel that order thanks.
1521,4,and what are all the colors available?
1353,4,are you show your t-shirts?
1049,3,"hi, i was wondering if you could please check to see if order number: s035585912 has shipped yet"
762,2,can i remove one of the silver earrings from my cart?
1572,5,list reviews for these jeans
34,0,is there a fee for cancelling an order?
1285,4,show me heels.
2207,9,how late is the store open on sunday?
1706,6,i was wondering if i could modify the delivery address for the order i placed because i will be out of town next week?
118,0,i no longer need the items in my last order and wish to cancel it at this time.
